,TABELA_DESTINO,TABELA_ORIGEM,TABELA_ORIGEM_SISTEMA,SISTEMA,ASSUNTO
14270,RL_JUR_TBL_TRA_PROVISAO_ATUAL,,RL_JUR_TBL_TRA_PROVISAO_ATUAL;RL_JUR_TBL_TRA_PROVISAO_ATUAL;RL_JUR_TRAB_PROVISAO_ANT;RL_JUR_TBL_TRA_PROVISAO_ATUAL;RL_JUR_TBL_TRA_PROVISAO_ATUAL;RL_JUR_TBL_TRA_PROVISAO_ATUAL;RL_JUR_TBL_TRA_PROVISAO_ATUAL;RL_JUR_TBL_TRA_PROVISAO_ATUAL;RL_JUR_TBL_TRA_PROVISAO_ATUAL;RL_JUR_TBL_TRA_PROVISAO_ATUAL;RL_JUR_TRAB_PAGTOS_MES;RL_JUR_TBL_TRA_PROVISAO_ATUAL;RL_JUR_TRAB_TD_ABTCON;RL_JUR_TBL_TRA_PROVISAO_ATUAL;RL_JUR_TRAB_TD_FASE_PROC;RL_JUR_TBL_TRA_PROVISAO_ATUAL;RL_JUR_TRAB_JULGAMENTAL;RL_JUR_TBL_TRA_PROVISAO_ATUAL,JURIDICO,JURIDICO
14280,RL_JUD_TBL_EL_FIELD_VALUE,,EL_FIELD_VALUE,JURIDICO,JURIDICO
14292,RL_JUD_TBL_PROC_PARTE_OUTRO,,PROCESSO_PARTE_OUTRO,JURIDICO,JURIDICO
14348,RL_JUD_TBL_PROCESSOS_PANJUD,RL_JUD_TBL_PROCESSO_TIPO,RL_JUD_TBL_AREA;RL_JUD_TBL_COMARCA;RL_JUD_TBL_ESCRITORIO;RL_JUD_TBL_PROCESSO;RL_JUD_TBL_PROCESSO_TIPO;RL_JUD_TBL_REGISTRATION;RL_JUD_TBL_VARA;,JURIDICO,JURIDICO
14349,RL_JUD_TBL_PROCESSOS_PANJUD,RL_JUD_TBL_VARA,RL_JUD_TBL_AREA;RL_JUD_TBL_COMARCA;RL_JUD_TBL_ESCRITORIO;RL_JUD_TBL_PROCESSO;RL_JUD_TBL_PROCESSO_TIPO;RL_JUD_TBL_REGISTRATION;RL_JUD_TBL_VARA;,JURIDICO,JURIDICO
14368,RL_CCC_CARTAOCOMISPARC,,CCC_C251_CARTAOCOMISPARC,CONSIGCARD,CARTOES
14369,RL_CCC_CRTCOMISPRZPED,STG_CCC_C252_CRTCOMISPRZPED,CCC_C252_CARTAOCOMISPRZPEDALA,CONSIGCARD,CARTOES
14371,RL_CCC_CRTCOMISPRZPED,,CCC_C252_CARTAOCOMISPRZPEDALA,CONSIGCARD,CARTOES
14372,RL_CCC_CARTAOCONSIGCARD,STG_CCC_C255_CARTAOCONSIGCARD,CCC_C255_CARTAOCONSIGCARD,CONSIGCARD,CARTOES
14385,RL_CCC_CARTAOCONSIGCARD,,CCC_C255_CARTAOCONSIGCARD,CONSIGCARD,CARTOES
14398,RL_JUR_CIVEL_PROVISAO_ATUAL,,RL_JUR_CIVEL_PROVISAO_ORIGINAL;,JURIDICO,JURIDICO
14403,RL_JUR_TBL_TRA_CADASTRADOS,RL_JUR_TBL_RELATAUTORREU,RL_JUR_TBL_ESCRITORIO;RL_JUR_TBL_FASEPROCESSUAL;RL_JUR_TBL_FORUM;RL_JUR_TBL_FUNCIONARIO;RL_JUR_TBL_INFOPROCESSO;RL_JUR_TBL_ORGAO;RL_JUR_TBL_PESSOA;RL_JUR_TBL_POSSIPERDA;RL_JUR_TBL_PROCESSO;RL_JUR_TBL_REGIAO;RL_JUR_TBL_RELATADVOGADOPARTE;RL_JUR_TBL_RELATAUTORREU;RL_JUR_TBL_RELATCAUSARAIZ;RL_JUR_TBL_RELATCAUSAREAL;RL_JUR_TBL_RELATCONTRATOS;RL_JUR_TBL_RELATFECHAMENTO;RL_JUR_TBL_RELATLIMINAR;RL_JUR_TBL_RELATPAGTOGEREN,JURIDICO,JURIDICO
14412,RL_CCC_CRTCONSIGCARDT,STG_CCC_C256_CRTCONSIGCARDT,CCC_C256_CARTAOCONSIGCARDTEMP,CONSIGCARD,CARTOES
14428,RL_JUR_CIVEL_CADASTRADOS,RL_JUR_TBL_COMARCA,RL_JUR_TBL_COMARCA;RL_JUR_TBL_ESCRITORIO;RL_JUR_TBL_FORUM;RL_JUR_TBL_FUNCIONARIO;RL_JUR_TBL_INFOPROCESSO;RL_JUR_TBL_ORGAO;RL_JUR_TBL_PESSOA;RL_JUR_TBL_POSSIPERDA;RL_JUR_TBL_PROCESSO;RL_JUR_TBL_REGIAO;RL_JUR_TBL_RELATADVOGADOPARTE;RL_JUR_TBL_RELATAUTORREU;RL_JUR_TBL_RELATCAUSARAIZ;RL_JUR_TBL_RELATCAUSAREAL;RL_JUR_TBL_RELATCONTRATOS;RL_JUR_TBL_RELATFECHAMENTO;RL_JUR_TBL_RELATLIMINAR;RL_JUR_TBL_RELATPAGTOGEREN,JURIDICO,JURIDICO
14494,RL_CCC_CRTCONSIGCARDT,,CCC_C256_CARTAOCONSIGCARDTEMP,CONSIGCARD,CARTOES
